stopid,stopname,stopsite,latitude,longitude,syscode,system,muni
103745,Hwy 97 Offramp at Sneena (NB),NB_Hwy 97 Offramp_NS_Sneena,49.880823,-119.534995,KEL,Kelowna Regional Transit System,Tsinstikeptum 10
103800,Lequime 670 block (WB),WB_670_block_Lequime,49.835566,-119.484825,KEL,Kelowna Regional Transit System,Kelowna
103801,Lequime 670 block (EB),EB_670_block_Lequime,49.835561,-119.484333,KEL,Kelowna Regional Transit System,Kelowna
140098,Alumni Ave at Transit Way (SB),SB_Alumni Ave_NS_Transit Way,49.939924,-119.394613,KEL,Kelowna Regional Transit System,Kelowna
140099,UBCO Exchange Bay A,UBCO Exchange_Bay_A,49.93931,-119.394996,KEL,Kelowna Regional Transit System,Kelowna
140100,Transit Way at Alumni Ave (EB),EB_Transit Way_FS_ALumni Ave,49.939482,-119.394268,KEL,Kelowna Regional Transit System,Kelowna
140101,UBCO Exchange Bay B,UBCO Exchange_Bay B,49.939429,-119.394061,KEL,Kelowna Regional Transit System,Kelowna
140118,Gellatly Rd at Gellatly Rd turn lane (WB),WB_Gellatly Rd_AT_Gellatly_Turn_Lane,49.823617,-119.618058,KEL,Kelowna Regional Transit System,West Kelowna
140119,Gellatly Rd at Gellatly Aquatic Park (NB),NB_Gellatly Rd_AT_Gellatly_Aquatic_Park,49.822438,-119.619371,KEL,Kelowna Regional Transit System,West Kelowna
140120,Gellatly Rd near South access of Angus Dr (NB),NB_Gellatly Rd_near_South_Access_of_Angus Dr,49.818827,-119.62097,KEL,Kelowna Regional Transit System,West Kelowna
140121,Gellatly Rd at Angus Dr (SB),SB_Gellatly Rd_AT_Angus Dr,49.81727,-119.623184,KEL,Kelowna Regional Transit System,West Kelowna
140122,Gellatly Rd at Rotary Trails (SB),SB_Gellatly Rd_AT_Rotary_Trails,49.815702,-119.623069,KEL,Kelowna Regional Transit System,West Kelowna
140123,Gellatly Rd at Boat Launch (NB),NB_Gellatly Rd_AT_Boat Launch,49.815064,-119.622779,KEL,Kelowna Regional Transit System,West Kelowna
140124,Gellatly Rd at Gellatly Rd S (SB),SB_Gellatly Rd_AT_Gellatly Rd_S,49.812429,-119.623286,KEL,Kelowna Regional Transit System,West Kelowna
140125,Gellatly Rd at Gellatly Rd S (NB),NB_Gellatly Rd_AT_Gellatly Rd S,49.81206,-119.623204,KEL,Kelowna Regional Transit System,West Kelowna
140126,Whitworth Rd at Gellatly Rd S (SB),SB_Whitworth Rd_AT_Gellatly Rd S,49.812604,-119.627203,KEL,Kelowna Regional Transit System,West Kelowna
140127,Whitworth Rd at Gellatly Nut Farm (NB),NB_Whitworth Rd_AT_Gellatly_Nut_Farm,49.811893,-119.6274,KEL,Kelowna Regional Transit System,West Kelowna
140128,Whitworth Rd at George Crt (SB),SB_Whitworth Rd_AT_George Crt,49.809323,-119.628192,KEL,Kelowna Regional Transit System,West Kelowna
140129,Whitworth Rd at 2431 Block (WB),WB_Whitworth Rd_AT_2431 Block,49.808554,-119.633651,KEL,Kelowna Regional Transit System,West Kelowna
140130,Whitworth Rd at Pebble Beach Park (WB),WB_Whitworth Rd_AT_Pebble_Beach_Park,49.809626,-119.637366,KEL,Kelowna Regional Transit System,West Kelowna
140102,UBCO Exchange Bay C,UBCO Exchange_Bay C,49.939382,-119.393874,KEL,Kelowna Regional Transit System,Kelowna
140103,UBCO Exchange Bay D,UBCO Exchange_Bay_D,49.939348,-119.393726,KEL,Kelowna Regional Transit System,Kelowna
140104,UBCO Exchange Bay E,UBCO Exchange_Bay E,49.939979,-119.394333,KEL,Kelowna Regional Transit System,Kelowna
140161,Arbor View Dr at Steele Rd (EB),EB_Arbor View Dr_NS_Steele Rd,49.806543,-119.472664,KEL,Kelowna Regional Transit System,Kelowna
140156,Sexsmith Rd at Adams (WB),WB_Sexsmith_FS_Adams,49.91822,-119.389931,KEL,Kelowna Regional Transit System,Kelowna
140157,Sexsmith Rd at Adams,EB_Sexsmith Rd_FS_Adams,49.918103,-119.389011,KEL,Kelowna Regional Transit System,Kelowna
140131,Glenmore Rd at Cross (NB),NB_Glenmore Rd_FS_Cross ,49.923368,-119.438328,KEL,Kelowna Regional Transit System,Kelowna
140132,Glenmore at Union (NB),NB_Glenmore_FS_Union,49.927654,-119.434737,KEL,Kelowna Regional Transit System,Kelowna
140133,Glenmore at Union (SB),SB_Glenmore_FS_Union,49.926307,-119.43607,KEL,Kelowna Regional Transit System,Kelowna
140134,Glenmore at Scenic (NB),NB_Glenmore_NS_Scenic,49.932964,-119.433206,KEL,Kelowna Regional Transit System,Kelowna
140135,Glenmore at Scenic (SB),SB_Glenmore_FS_Scenic,49.932879,-119.433542,KEL,Kelowna Regional Transit System,Kelowna
