Longitude,Latitude
-119.587998,49.78232591
-119.587969,49.7815927
-119.587921,49.78069354
-119.587875,49.77979498
-119.587829,49.77889642
-119.587783,49.77799786
-119.587737,49.7770993
-119.587691,49.77620074
-119.587645,49.77530218
-119.587598,49.77440361
-119.587557,49.77369813
-119.586634,49.78237833
-119.586596,49.78162294
-119.586548,49.78072442
-119.5865,49.7798259
-119.586452,49.77892737
-119.586404,49.77802885
-119.586357,49.77713033
-119.586309,49.77623181
-119.586261,49.77533328
-119.586213,49.77443476
-119.58617,49.77371841
-119.585259,49.78239012
-119.585208,49.78165393
-119.58516,49.78075541
-119.585112,49.77985688
-119.585065,49.77895836
-119.585017,49.77805984
-119.584969,49.77716131
-119.584921,49.77626279
-119.584873,49.77536426
-119.584826,49.77446574
-119.584782,49.77373863
-119.583871,49.78239312
-119.583821,49.7816849
-119.583773,49.78078637
-119.583725,49.77988785
-119.583677,49.77898933
-119.583629,49.7780908
-119.583581,49.77719228
-119.583534,49.77629375
-119.583486,49.77539523
-119.583438,49.7744967
-119.583395,49.77375883
-119.58246,49.78241191
-119.582433,49.78171585
-119.582385,49.78081733
-119.582337,49.7799188
-119.58229,49.77902028
-119.582242,49.77812175
-119.582194,49.77722323
-119.582146,49.7763247
-119.582098,49.77542617
-119.582051,49.77452765
-119.582007,49.77377901
-119.581048,49.78250833
-119.581045,49.78174679
-119.580997,49.78084826
-119.58095,49.77994974
-119.580902,49.77905121
-119.580854,49.77815268
-119.580806,49.77725416
-119.580759,49.77635563
-119.580711,49.7754571
-119.580663,49.77455858
-119.580619,49.77379918
-119.579424,49.78320815
-119.579678,49.78265658
-119.579658,49.78177771
-119.57961,49.78087918
-119.579562,49.77998065
-119.579514,49.77908213
-119.579467,49.7781836
-119.579419,49.77728507
-119.579371,49.77638654
-119.579323,49.77548802
-119.579276,49.77458949
-119.579231,49.77381933
-119.578278,49.78328427
-119.578318,49.78270714
-119.57827,49.78180861
-119.578222,49.78091008
-119.578174,49.78001156
-119.578127,49.77911303
-119.578079,49.7782145
-119.578031,49.77731597
-119.577984,49.77641744
-119.577936,49.77551891
-119.577888,49.77462038
-119.577843,49.77383948
-119.576724,49.78426897
-119.576957,49.78362724
-119.57693,49.78273803
-119.576882,49.7818395
-119.576835,49.78094097
-119.576787,49.78004244
-119.576739,49.77914391
-119.576692,49.77824538
-119.576644,49.77734685
-119.576596,49.77644832
-119.576549,49.77554979
-119.576501,49.77465126
-119.576455,49.77386004
-119.575581,49.78444516
-119.57559,49.78366743
-119.575542,49.7827689
-119.575495,49.78187037
-119.575447,49.78097184
-119.575399,49.78007331
-119.575352,49.77917478
-119.575304,49.77827625
-119.575256,49.77737772
-119.575209,49.77647919
-119.575161,49.77558066
-119.575113,49.77468213
-119.575068,49.77388078
-119.574293,49.78449544
-119.574202,49.78369828
-119.574155,49.78279975
-119.574107,49.78190122
-119.574059,49.78100269
-119.574012,49.78010416
-119.573964,49.77920563
-119.573916,49.7783071
-119.573869,49.77740857
-119.573821,49.77651004
-119.573774,49.7756115
-119.573726,49.77471297
-119.573679,49.77390123
-119.572914,49.78432019
-119.572814,49.78372912
-119.572767,49.78283059
-119.572719,49.78193206
-119.572672,49.78103353
-119.572624,49.780135
-119.572576,49.77923646
-119.572529,49.77833793
-119.572481,49.7774394
-119.572434,49.77654087
-119.572386,49.77564233
-119.572338,49.7747438
-119.572292,49.77392207
-119.571737,49.78429276
-119.571434,49.78375432
-119.571379,49.78286141
-119.571332,49.78196288
-119.571284,49.78106435
-119.571236,49.78016582
-119.571189,49.77926728
-119.571141,49.77836875
-119.571094,49.77747022
-119.571046,49.77657168
-119.570999,49.77567315
-119.570951,49.77477461
-119.570904,49.77394291
-119.570064,49.78367239
-119.569991,49.78289222
-119.569944,49.78199369
-119.569896,49.78109515
-119.569849,49.78019662
-119.569801,49.77929808
-119.569754,49.77839955
-119.569706,49.77750101
-119.569659,49.77660248
-119.569611,49.77570395
-119.569564,49.77480541
-119.569516,49.77396359
-119.568122,49.78438346
-119.568602,49.78377593
-119.568604,49.78292301
-119.568556,49.78202447
-119.568509,49.78112594
-119.568461,49.7802274
-119.568414,49.77932887
-119.568366,49.77843033
-119.568319,49.7775318
-119.568271,49.77663326
-119.568224,49.77573473
-119.568176,49.77483619
-119.568128,49.77398425
-119.567268,49.78456698
-119.567264,49.78385231
-119.567216,49.78295378
-119.567169,49.78205524
-119.567121,49.78115671
-119.567074,49.78025817
-119.567026,49.77935964
-119.566979,49.7784611
-119.566931,49.77756256
-119.566884,49.77666403
-119.566836,49.77576549
-119.566789,49.77486695
-119.56674,49.77400484
-119.565899,49.78461547
-119.565876,49.78388307
-119.565828,49.78298453
-119.565781,49.782086
-119.565733,49.78118746
-119.565686,49.78028892
-119.565638,49.77939039
-119.565591,49.77849185
-119.565544,49.77759331
-119.565496,49.77669477
-119.565449,49.77579624
-119.565401,49.7748977
-119.565351,49.77402312
-119.563939,49.78529091
-119.564492,49.78476438
-119.564488,49.78391381
-119.564441,49.78301527
-119.564393,49.78211674
-119.564346,49.7812182
-119.564298,49.78031966
-119.564251,49.77942112
-119.564203,49.77852258
-119.564156,49.77762405
-119.564109,49.77672551
-119.564061,49.77582697
-119.564014,49.77492843
-119.563963,49.77404026
-119.562933,49.7854737
-119.563148,49.78484307
-119.5631,49.78394453
-119.563053,49.78304599
-119.563006,49.78214746
-119.562958,49.78124892
-119.562911,49.78035038
-119.562863,49.77945184
-119.562816,49.7785533
-119.562768,49.77765476
-119.562721,49.77675622
-119.562674,49.77585768
-119.562626,49.77495914
-119.562578,49.77406107
-119.562204,49.77361239
-119.56132,49.78715823
-119.561557,49.78661
-119.561782,49.78575771
-119.56176,49.78487378
-119.561713,49.78397524
-119.561665,49.7830767
-119.561618,49.78217816
-119.56157,49.78127962
-119.561523,49.78038108
-119.561476,49.77948254
-119.561428,49.778584
-119.561381,49.77768546
-119.561333,49.77678692
-119.561286,49.77588838
-119.561239,49.77498984
-119.561191,49.7740913
-119.561074,49.77362631
-119.560507,49.78719828
-119.560467,49.78670155
-119.56042,49.78580301
-119.560372,49.78490447
-119.560325,49.78400593
-119.560278,49.78310739
-119.56023,49.78220885
-119.560183,49.78131031
-119.560135,49.78041177
-119.560088,49.77951323
-119.560041,49.77861468
-119.559993,49.77771614
-119.559946,49.7768176
-119.559899,49.77591906
-119.559851,49.77502052
-119.559804,49.77412198
-119.559727,49.77364289
-119.559656,49.78720405
-119.559131,49.7866607
-119.559032,49.78583368
-119.558985,49.78493514
-119.558937,49.7840366
-119.55889,49.78313806
-119.558842,49.78223952
-119.558795,49.78134098
-119.558748,49.78044244
-119.5587,49.77954389
-119.558653,49.77864535
-119.558606,49.77774681
-119.558558,49.77684827
-119.558511,49.77594973
-119.558464,49.77505118
-119.558416,49.77415264
-119.558355,49.77365976
-119.557682,49.78662447
-119.557644,49.78586434
-119.557597,49.7849658
-119.557549,49.78406726
-119.557502,49.78316872
-119.557455,49.78227017
-119.557407,49.78137163
-119.55736,49.78047309
-119.557313,49.77957455
-119.557265,49.778676
-119.557218,49.77777746
-119.557171,49.77687892
-119.557124,49.77598037
-119.557076,49.77508183
-119.557029,49.77418329
-119.556975,49.77367671
-119.556283,49.78670953
-119.556256,49.78589498
-119.556209,49.78499644
-119.556162,49.7840979
-119.556114,49.78319936
-119.556067,49.78230081
-119.55602,49.78140227
-119.555973,49.78050372
-119.555925,49.77960518
-119.555878,49.77870664
-119.555831,49.77780809
-119.555783,49.77690955
-119.555736,49.776011
-119.555689,49.77511246
-119.555641,49.77421391
-119.555592,49.77369368
-119.554923,49.78672785
-119.554869,49.78592561
-119.554821,49.78502707
-119.554774,49.78412852
-119.554727,49.78322998
-119.554679,49.78233143
-119.554632,49.78143289
-119.554585,49.78053434
-119.554538,49.7796358
-119.55449,49.77873725
-119.554443,49.77783871
-119.554396,49.77694016
-119.554349,49.77604162
-119.554301,49.77514307
-119.554254,49.77424453
-119.554207,49.77371066
-119.552978,49.78734834
-119.553483,49.7868104
-119.553481,49.78595622
-119.553433,49.78505767
-119.553386,49.78415913
-119.553339,49.78326058
-119.553292,49.78236204
-119.553244,49.78146349
-119.553197,49.78056495
-119.55315,49.7796664
-119.553103,49.77876786
-119.553055,49.77786931
-119.553008,49.77697076
-119.552961,49.77607222
-119.552914,49.77517367
-119.552867,49.77427512
-119.552822,49.77372763
-119.55157,49.78827858
-119.55193,49.78766201
-119.55214,49.78688536
-119.552093,49.78598681
-119.552046,49.78508826
-119.551998,49.78418972
-119.551951,49.78329117
-119.551904,49.78239263
-119.551857,49.78149408
-119.55181,49.78059553
-119.551762,49.77969699
-119.551715,49.77879844
-119.551668,49.77789989
-119.551621,49.77700135
-119.551573,49.7761028
-119.551526,49.77520425
-119.551479,49.7743057
-119.551436,49.77374459
-119.550678,49.78853636
-119.5508,49.78781448
-119.550752,49.78691593
-119.550705,49.78601739
-119.550658,49.78511884
-119.550611,49.78422029
-119.550564,49.78332174
-119.550516,49.7824232
-119.550469,49.78152465
-119.550422,49.7806261
-119.550375,49.77972756
-119.550328,49.77882901
-119.55028,49.77793046
-119.550233,49.77703191
-119.550186,49.77613336
-119.550139,49.77523481
-119.550092,49.77433627
-119.550049,49.77376155
-119.548952,49.78922916
-119.549429,49.78871576
-119.549412,49.78784504
-119.549365,49.78694649
-119.549317,49.78604794
-119.54927,49.7851494
-119.549223,49.78425085
-119.549176,49.7833523
-119.549129,49.78245375
-119.549081,49.7815552
-119.549034,49.78065666
-119.548987,49.77975811
-119.54894,49.77885956
-119.548893,49.77796101
-119.548846,49.77706246
-119.548798,49.77616391
-119.548751,49.77526536
-119.548704,49.77436681
-119.548662,49.77377849
-119.548106,49.78925158
-119.548071,49.78877413
-119.548024,49.78787558
-119.547977,49.78697703
-119.54793,49.78607849
